0 杰尼龟 水 防御 66 14 44 48 65 50 64 43 0 1 2 3
1 卡咪龟 水 防御 143 15 59 63 80 65 80 58 0 1 2 3
2 水箭龟 水 特防 239 17 79 83 100 85 105 78 0 1 2 3
3 玛力露 水 生命 68 12 70 20 50 20 50 40 0 4 2 3
4 沼王 水 生命 151 15 95 85 85 65 65 35 0 14 2 15
5 拉普拉斯 水 生命 229 16 130 85 80 85 95 60 1 5 6 3
6 可达鸭 水 特攻 64 13 50 52 48 65 50 55 13 12 2 3
7 金鱼王 水 攻击 158 16 80 92 65 65 80 68 1 16 8 17
8 暴鲤龙 水 攻击 224 18 95 125 79 60 100 81 7 8 3 9
9 玛瑙水母 水 特防 67 15 40 40 35 50 100 70 0 1 18 3
10 毒刺水母 水 特防 180 18 80 70 65 80 120 100 4 18 11 3
11 宝石海星 水 速度 227 18 60 75 85 100 85 115 7 10 11 3
12 小火龙 火 速度 65 13 39 52 43 60 50 65 19 20 21 22
13 火恐龙 火 特攻 142 15 58 64 58 80 65 80 19 20 21 22
14 喷火龙 火 特攻 240 17 78 84 78 109 85 100 20 23 21 22
15 卡蒂狗 火 攻击 91 14 55 70 45 70 50 60 19 24 21 22
16 煤炭龟 火 防御 165 16 70 85 140 85 70 20 19 32 21 33
17 炎帝 火 生命 261 18 115 115 85 90 75 100 24 32 26 33
18 小火马 火 速度 92 15 50 85 55 65 65 90 19 20 30 22
19 火伊布 火 攻击 184 17 65 130 60 95 110 65 19 24 32 22
20 凤王 火 特防 306 21 106 130 90 110 154 90 25 26 27 28
21 六尾 火 速度 63 13 38 41 40 50 65 65 19 29 21 26
22 九尾 火 特防 178 16 73 76 75 81 100 100 19 29 21 26
23 比克提尼 火 生命 270 16 100 100 100 100 100 100 29 12 30 31
24 妙蛙种子 草 特攻 64 13 45 49 49 65 65 45 34 35 36 37
25 妙蛙草 草 特攻 142 15 60 62 63 80 80 60 34 35 36 37
26 妙蛙花 草 特攻 236 18 80 100 123 122 120 80 34 35 43 37
27 菊叶草 草 特防 64 13 45 49 65 49 65 45 34 39 5 37
28 月桂叶 草 特防 142 15 60 62 80 63 80 60 34 39 5 37
29 大竺葵 草 特防 236 17 80 82 100 83 100 80 34 39 43 37
30 喇叭芽 草 攻击 64 14 50 75 35 70 30 40 38 34 18 37
31 口呆花 草 攻击 137 15 65 90 50 85 45 55 38 34 18 37
32 大食花 草 攻击 221 17 80 105 65 100 70 70 38 46 44 45
33 木守宫 草 速度 65 14 40 45 35 65 55 70 40 41 42 37
34 叶伊布 草 防御 196 18 65 110 130 60 65 95 34 41 44 47
35 蜥蜴王 草 速度 239 18 70 85 65 105 85 120 41 36 44 47
36 皮卡丘 电 速度 112 15 45 55 40 60 40 90 54 49 50 51
37 雷丘 电 速度 218 17 60 90 55 90 80 110 52 49 50 51
38 雷伊布 电 速度 217 19 65 65 60 110 95 130 53 49 50 51
39 勒克猫 电 攻击 78 15 60 85 49 60 49 60 54 53 49 50
40 电飞鼠 电 速度 150 17 55 75 60 75 60 103 53 49 50 51
41 伦琴猫 电 攻击 235 18 80 120 79 95 79 70 53 49 50 51
42 小磁怪 电 特攻 65 15 25 35 70 95 55 45 54 48 49 55
43 三合一磁怪 电 特攻 163 17 50 60 95 120 70 70 48 49 50 55
44 闪电鸟 电 特攻 261 19 90 90 85 125 90 100 48 50 51 55
45 灯笼鱼 电 生命 66 13 75 38 38 56 56 67 54 48 49 51
46 电灯怪 电 生命 161 16 125 58 58 76 76 67 48 49 50 51
47 捷克罗姆 电 攻击 306 21 100 150 120 120 100 90 50 56 57 58
